date,open,high,low,close,volume,dividends,stock_splits
2023-09-18 00:00:00+05:30,693.489636895671,695.283003611933,685.4692601849957,686.8142700195312,1032981,0.0,0.0
2023-09-20 00:00:00+05:30,685.718347889693,686.1169008578389,673.0650512841216,676.0540161132812,1353493,0.0,0.0
2023-09-21 00:00:00+05:30,675.4064476267594,680.9360204319247,665.5428393067868,668.8306884765625,1346593,0.0,0.0
2023-09-22 00:00:00+05:30,670.5244399183462,672.9156360937245,658.5685806627442,660.909912109375,1386201,0.0,0.0
2023-09-25 00:00:00+05:30,664.5465043691235,689.6538207442986,664.5465043691235,686.6648559570312,4487685,0.0,0.0
2023-09-26 00:00:00+05:30,686.6648532517614,688.956380750843,677.5484863622542,679.04296875,1055108,0.0,0.0
2023-09-27 00:00:00+05:30,679.0429761244907,683.9747802197409,671.6203680226137,679.4913330078125,1155826,0.0,0.0
2023-09-28 00:00:00+05:30,681.1851140348125,685.8678378816013,667.5354954727187,669.6277465820312,1109275,0.0,0.0
2023-09-29 00:00:00+05:30,673.6129925382461,680.8363239570498,671.3214650778577,678.3455200195312,846290,0.0,0.0
2023-10-03 00:00:00+05:30,678.1463084148717,704.7979107059522,674.310433841732,700.9620361328125,3635424,0.0,0.0
2023-10-04 00:00:00+05:30,697.375310872896,706.8403660021942,694.5856225758632,701.460205078125,2562621,0.0,0.0
2023-10-05 00:00:00+05:30,703.4030511554262,723.8276440005908,703.054362918913,716.8035888671875,5547419,0.0,0.0
2023-10-06 00:00:00+05:30,719.2943985005987,719.9918357897268,711.373629538981,717.1522827148438,1644795,0.0,0.0
2023-10-09 00:00:00+05:30,706.3920509185276,707.3883725700348,695.6815931648264,700.2646484375,1760290,0.0,0.0
2023-10-10 00:00:00+05:30,701.4104280772439,708.982448147001,700.4141064464524,703.1041870117188,1371262,0.0,0.0
2023-10-11 00:00:00+05:30,707.3883397033619,709.1817064306217,700.8624453513261,702.0081787109375,946589,0.0,0.0
2023-10-12 00:00:00+05:30,702.4067218948032,705.0968023535504,695.9804354685305,697.6741943359375,1230285,0.0,0.0
2023-10-13 00:00:00+05:30,695.6815537531485,703.901206912423,690.6501418602062,701.5598754882812,1018087,0.0,0.0
2023-10-16 00:00:00+05:30,702.4067112727646,706.4418014945434,698.6705053617393,700.7627563476562,799567,0.0,0.0
2023-10-17 00:00:00+05:30,701.2111136435808,716.7537667292406,700.4638724609233,711.9713745117188,2163042,0.0,0.0
2023-10-18 00:00:00+05:30,715.7075883169792,715.8570608794162,696.5283977506205,701.2609252929688,1690083,0.0,0.0
2023-10-19 00:00:00+05:30,698.8199787762337,702.1576317365704,687.760772779701,697.076416015625,1100204,0.0,0.0
2023-10-20 00:00:00+05:30,697.4251029554915,700.9122284702689,687.4618871989844,689.5541381835938,1232956,0.0,0.0
2023-10-23 00:00:00+05:30,690.1021687131688,690.1021687131688,660.5612094562164,663.7494506835938,1717013,0.0,0.0
2023-10-25 00:00:00+05:30,664.7956269916656,670.5244765311216,648.7050078739775,655.6294555664062,1305923,0.0,0.0
2023-10-26 00:00:00+05:30,653.9855329191873,653.9855329191873,633.2121907438843,642.67724609375,1821947,0.0,0.0
2023-10-27 00:00:00+05:30,647.5094311256489,659.1663451784354,646.014948728046,656.9246215820312,1056784,0.0,0.0
2023-10-30 00:00:00+05:30,659.2660171805752,663.3509114305589,650.0998462664896,660.860107421875,988891,0.0,0.0
2023-10-31 00:00:00+05:30,662.3048192227312,666.4395784093813,660.5114524084021,662.902587890625,603228,0.0,0.0
2023-11-01 00:00:00+05:30,663.6000049512747,667.5354875249316,649.6016983078438,650.4485473632812,840037,0.0,0.0
2023-11-02 00:00:00+05:30,655.5298029073808,661.1091794922704,647.3101497822978,652.8895263671875,1442254,0.0,0.0
2023-11-03 00:00:00+05:30,657.572263107521,663.6498006089537,655.6294238043926,661.1589965820312,763012,0.0,0.0
2023-11-06 00:00:00+05:30,668.0336466410758,671.6702448806808,663.9487523206982,669.0299682617188,734713,0.0,0.0
2023-11-07 00:00:00+05:30,671.4709416744514,680.7865241325076,667.5354592673881,678.5946044921875,1366389,0.0,0.0
2023-11-08 00:00:00+05:30,687.4619456769997,687.4619456769997,669.0797988804634,674.41015625,2294522,0.0,0.0
2023-11-09 00:00:00+05:30,676.502364719813,677.3990784818437,661.9560937201985,668.0834350585938,1785791,0.0,0.0
2023-11-10 00:00:00+05:30,667.4358934355508,673.6130389779422,663.350938210013,669.9765014648438,711757,0.0,0.0
2023-11-13 00:00:00+05:30,674.5097289675217,674.5097289675217,666.5889600176647,668.5317993164062,517232,0.0,0.0
2023-11-15 00:00:00+05:30,675.2071474771695,676.4525494531823,671.5207454660433,674.8583984375,736475,0.0,0.0
2023-11-16 00:00:00+05:30,674.5097477536926,681.3843913682031,673.214541788673,677.1500244140625,1042850,0.0,0.0
2023-11-17 00:00:00+05:30,679.6500244140625,711.5,677.2000122070312,707.3499755859375,4894657,2.5,0.0
2023-11-20 00:00:00+05:30,709.9000244140625,712.0,694.75,701.2999877929688,1714181,0.0,0.0
2023-11-21 00:00:00+05:30,705.2999877929688,719.9000244140625,703.5,708.9500122070312,4324116,0.0,0.0
2023-11-22 00:00:00+05:30,709.0,711.7999877929688,693.0499877929688,700.0,1440191,0.0,0.0
2023-11-23 00:00:00+05:30,704.0,706.4500122070312,699.0,700.0,1285720,0.0,0.0
2023-11-24 00:00:00+05:30,703.0,704.4000244140625,691.5999755859375,692.7999877929688,896138,0.0,0.0
2023-11-28 00:00:00+05:30,697.2000122070312,699.2000122070312,692.7999877929688,696.7999877929688,877968,0.0,0.0
2023-11-29 00:00:00+05:30,696.7999877929688,709.5,696.7999877929688,700.5,1575534,0.0,0.0
2023-11-30 00:00:00+05:30,700.0,710.0,700.0,705.75,2128035,0.0,0.0
2023-12-01 00:00:00+05:30,710.0,710.0,700.0,701.2999877929688,1060638,0.0,0.0
2023-12-04 00:00:00+05:30,708.0,724.0,706.0,720.8499755859375,4528427,0.0,0.0
2023-12-05 00:00:00+05:30,724.75,728.9500122070312,709.0499877929688,715.0999755859375,2826160,0.0,0.0
2023-12-06 00:00:00+05:30,719.4000244140625,749.9000244140625,716.5999755859375,740.5,10164743,0.0,0.0
2023-12-07 00:00:00+05:30,742.75,762.25,732.0,757.7999877929688,7412553,0.0,0.0
2023-12-08 00:00:00+05:30,762.4500122070312,769.8499755859375,739.2000122070312,749.5499877929688,4842223,0.0,0.0
2023-12-11 00:00:00+05:30,750.9500122070312,766.5499877929688,750.0,762.0999755859375,3619579,0.0,0.0
2023-12-12 00:00:00+05:30,766.4000244140625,786.4000244140625,763.3499755859375,770.5999755859375,7248708,0.0,0.0
2023-12-13 00:00:00+05:30,774.4000244140625,781.5499877929688,763.7999877929688,777.9500122070312,2986173,0.0,0.0
2023-12-14 00:00:00+05:30,799.9500122070312,799.9500122070312,785.5,791.0499877929688,5071262,0.0,0.0
2023-12-15 00:00:00+05:30,797.0,797.0,778.6500244140625,780.8499755859375,2894186,0.0,0.0
2023-12-18 00:00:00+05:30,784.8499755859375,889.3499755859375,779.0999755859375,879.1500244140625,36365109,0.0,0.0
2023-12-19 00:00:00+05:30,881.2000122070312,916.5,852.2000122070312,882.0999755859375,37499776,0.0,0.0
2023-12-20 00:00:00+05:30,886.7000122070312,890.0,805.25,815.1500244140625,17968498,0.0,0.0
2023-12-21 00:00:00+05:30,807.0,874.5,801.9000244140625,868.25,25159581,0.0,0.0
2023-12-22 00:00:00+05:30,875.0,886.9000244140625,853.9000244140625,860.9000244140625,10046698,0.0,0.0
2023-12-26 00:00:00+05:30,865.0,883.9000244140625,859.0,869.7999877929688,6342848,0.0,0.0
2023-12-27 00:00:00+05:30,874.7999877929688,884.7000122070312,858.9500122070312,867.5,5028695,0.0,0.0
2023-12-28 00:00:00+05:30,873.9500122070312,875.0,862.0499877929688,864.1500244140625,3578585,0.0,0.0
2023-12-29 00:00:00+05:30,866.0,895.0,859.0499877929688,887.5,10705182,0.0,0.0
2024-01-01 00:00:00+05:30,892.0,916.8499755859375,888.0,891.8499755859375,9040913,0.0,0.0
2024-01-02 00:00:00+05:30,895.7000122070312,903.2999877929688,866.7999877929688,886.2000122070312,5242381,0.0,0.0
2024-01-03 00:00:00+05:30,886.2999877929688,910.0,886.2000122070312,899.25,6852189,0.0,0.0
2024-01-04 00:00:00+05:30,903.9000244140625,912.0,895.25,901.5499877929688,4427039,0.0,0.0
2024-01-05 00:00:00+05:30,905.0,923.4500122070312,894.0499877929688,905.9000244140625,9811302,0.0,0.0
2024-01-08 00:00:00+05:30,914.2000122070312,929.0,905.8499755859375,916.5499877929688,9604429,0.0,0.0
2024-01-09 00:00:00+05:30,925.0,926.7000122070312,912.0,918.7999877929688,4254653,0.0,0.0
2024-01-10 00:00:00+05:30,920.0,944.5,907.4000244140625,941.7000122070312,8474409,0.0,0.0
2024-01-11 00:00:00+05:30,949.0,951.7999877929688,938.0,940.2999877929688,6012001,0.0,0.0
2024-01-12 00:00:00+05:30,945.5999755859375,962.0,941.3499755859375,951.2000122070312,6044161,0.0,0.0
2024-01-15 00:00:00+05:30,961.0,976.4500122070312,951.0499877929688,967.4000244140625,6618736,0.0,0.0
2024-01-16 00:00:00+05:30,970.0,971.5,935.1500244140625,949.6500244140625,5464749,0.0,0.0
2024-01-17 00:00:00+05:30,944.9000244140625,950.5,932.0,934.7000122070312,3782327,0.0,0.0
2024-01-18 00:00:00+05:30,935.0999755859375,944.0,870.2999877929688,927.25,6557942,0.0,0.0
2024-01-19 00:00:00+05:30,935.0,988.7999877929688,934.0499877929688,983.7999877929688,14486659,0.0,0.0
2024-01-23 00:00:00+05:30,1045.050048828125,1046.9000244140625,926.6500244140625,935.3499755859375,15704924,0.0,0.0
2024-01-24 00:00:00+05:30,941.5,977.0,909.0999755859375,970.5999755859375,8909650,0.0,0.0
2024-01-25 00:00:00+05:30,975.5499877929688,989.9500122070312,959.0,970.2999877929688,6428039,0.0,0.0
2024-01-29 00:00:00+05:30,983.9000244140625,989.9000244140625,972.6500244140625,981.7999877929688,3870322,0.0,0.0
2024-01-30 00:00:00+05:30,986.3499755859375,986.6500244140625,961.1500244140625,964.0499877929688,2502690,0.0,0.0
2024-01-31 00:00:00+05:30,968.9000244140625,981.9000244140625,965.0,977.2000122070312,2254800,0.0,0.0
2024-02-01 00:00:00+05:30,988.5,993.5,958.0499877929688,963.2999877929688,5130192,0.0,0.0
2024-02-02 00:00:00+05:30,968.9500122070312,986.2999877929688,963.9000244140625,967.5,2803549,0.0,0.0
2024-02-05 00:00:00+05:30,971.9000244140625,972.7999877929688,941.1500244140625,946.6500244140625,3260389,0.0,0.0
2024-02-06 00:00:00+05:30,950.0,968.4000244140625,939.5,965.25,2521842,0.0,0.0
2024-02-07 00:00:00+05:30,969.0,972.5999755859375,948.2999877929688,954.75,1956892,0.0,0.0
2024-02-08 00:00:00+05:30,957.5999755859375,958.5499877929688,941.7999877929688,944.3499755859375,1638646,0.0,0.0
2024-02-09 00:00:00+05:30,949.0999755859375,954.4000244140625,916.0,939.1500244140625,2482688,0.0,0.0
2024-02-12 00:00:00+05:30,941.9500122070312,947.0,894.0,900.0999755859375,3029950,0.0,0.0
2024-02-13 00:00:00+05:30,900.0999755859375,914.7000122070312,877.0,910.4500122070312,3906213,0.0,0.0
2024-02-14 00:00:00+05:30,915.5,934.0,897.2999877929688,929.2000122070312,4480920,0.0,0.0
2024-02-15 00:00:00+05:30,938.4500122070312,968.0,935.2000122070312,951.5,4532823,0.0,0.0
2024-02-16 00:00:00+05:30,957.0,959.8499755859375,937.0999755859375,940.6500244140625,2036667,0.0,0.0
2024-02-19 00:00:00+05:30,942.0,956.75,939.5499877929688,946.9500122070312,2063916,0.0,0.0
2024-02-20 00:00:00+05:30,947.4000244140625,954.9000244140625,944.25,951.9000244140625,1723035,0.0,0.0
2024-02-21 00:00:00+05:30,952.6500244140625,959.5499877929688,922.0999755859375,925.75,2291737,0.0,0.0
2024-02-22 00:00:00+05:30,928.0999755859375,939.25,917.0999755859375,935.6500244140625,1724197,0.0,0.0
2024-02-23 00:00:00+05:30,947.2999877929688,971.0,944.1500244140625,964.8499755859375,7709557,0.0,0.0
2024-02-26 00:00:00+05:30,966.9500122070312,989.9000244140625,964.0,968.4000244140625,7397592,0.0,0.0
2024-02-27 00:00:00+05:30,968.9000244140625,974.0,948.1500244140625,952.75,2829201,0.0,0.0
2024-02-28 00:00:00+05:30,953.0,959.6500244140625,920.0,924.0499877929688,2972449,0.0,0.0
2024-02-29 00:00:00+05:30,923.0,933.9500122070312,912.4000244140625,927.4000244140625,3232361,0.0,0.0
2024-03-01 00:00:00+05:30,934.0,938.0499877929688,927.0,929.2999877929688,1305118,0.0,0.0
2024-03-04 00:00:00+05:30,934.7999877929688,945.8499755859375,923.9500122070312,938.0,2010812,0.0,0.0
2024-03-05 00:00:00+05:30,938.0,941.25,928.6500244140625,935.7999877929688,1167131,0.0,0.0
2024-03-06 00:00:00+05:30,936.0,937.0,911.5499877929688,929.0499877929688,1888149,0.0,0.0
2024-03-07 00:00:00+05:30,931.5999755859375,946.4500122070312,930.1500244140625,937.2000122070312,1565514,0.0,0.0
2024-03-11 00:00:00+05:30,937.2000122070312,961.0,931.0499877929688,938.5999755859375,3587812,0.0,0.0
2024-03-12 00:00:00+05:30,939.0,941.4000244140625,915.5,920.9500122070312,1570749,0.0,0.0
2024-03-13 00:00:00+05:30,925.1500244140625,931.5,869.0,880.6500244140625,4244094,0.0,0.0
2024-03-14 00:00:00+05:30,875.0499877929688,905.3499755859375,862.75,898.75,2731461,0.0,0.0
2024-03-15 00:00:00+05:30,899.0,916.1500244140625,877.0499877929688,912.5,3393550,0.0,0.0
2024-03-18 00:00:00+05:30,912.5,922.9500122070312,904.0,918.9000244140625,1605008,0.0,0.0
2024-03-19 00:00:00+05:30,918.9000244140625,918.9000244140625,900.0,906.4000244140625,1737458,0.0,0.0
2024-03-20 00:00:00+05:30,906.0,916.5,882.7999877929688,901.9000244140625,1978201,0.0,0.0
2024-03-21 00:00:00+05:30,913.0,943.9000244140625,910.2000122070312,934.75,3688075,0.0,0.0
2024-03-22 00:00:00+05:30,938.9000244140625,940.9000244140625,926.5,928.7000122070312,1554947,0.0,0.0
2024-03-26 00:00:00+05:30,928.7000122070312,936.75,920.1500244140625,928.75,1707716,0.0,0.0
2024-03-27 00:00:00+05:30,930.9500122070312,940.2000122070312,926.4000244140625,929.9500122070312,1511283,0.0,0.0
2024-03-28 00:00:00+05:30,933.4000244140625,939.4000244140625,925.0,929.7000122070312,1729773,0.0,0.0
2024-04-01 00:00:00+05:30,930.0499877929688,972.9500122070312,930.0,970.1500244140625,4502891,0.0,0.0
2024-04-02 00:00:00+05:30,970.9500122070312,1012.2999877929688,964.0999755859375,1003.7999877929688,8068586,0.0,0.0
2024-04-03 00:00:00+05:30,1003.0,1037.949951171875,992.0999755859375,1014.6500244140625,7346168,0.0,0.0
2024-04-04 00:00:00+05:30,1020.0,1022.5,994.0499877929688,998.1500244140625,2790135,0.0,0.0
2024-04-05 00:00:00+05:30,998.0,1010.9500122070312,993.8499755859375,1002.9500122070312,1970844,0.0,0.0
2024-04-08 00:00:00+05:30,1005.0,1026.0,998.0,1014.7999877929688,3002278,0.0,0.0
2024-04-09 00:00:00+05:30,1019.6500244140625,1030.9000244140625,1006.0999755859375,1010.4500122070312,2439829,0.0,0.0
2024-04-10 00:00:00+05:30,1014.6500244140625,1029.5,1013.4000244140625,1023.0,2728295,0.0,0.0
2024-04-12 00:00:00+05:30,1022.75,1068.800048828125,1016.8499755859375,1057.6500244140625,10944073,0.0,0.0
2024-04-15 00:00:00+05:30,1044.949951171875,1048.25,1018.9500122070312,1029.5,4729372,0.0,0.0
2024-04-16 00:00:00+05:30,1024.5999755859375,1036.9000244140625,1006.25,1016.4500122070312,2760799,0.0,0.0
2024-04-18 00:00:00+05:30,1022.4000244140625,1033.5,988.0,992.9500122070312,2259164,0.0,0.0
2024-04-19 00:00:00+05:30,990.0,1006.1500244140625,970.5,992.0,3556149,0.0,0.0
2024-04-22 00:00:00+05:30,1004.9500122070312,1008.0499877929688,995.0,1000.0499877929688,1465887,0.0,0.0
2024-04-23 00:00:00+05:30,1005.0,1019.6500244140625,998.7999877929688,1016.2999877929688,1744634,0.0,0.0
2024-04-24 00:00:00+05:30,1023.0,1027.949951171875,1016.8499755859375,1025.3499755859375,1689611,0.0,0.0
2024-04-25 00:00:00+05:30,1030.0,1038.0,1022.5,1027.800048828125,1586884,0.0,0.0
2024-04-26 00:00:00+05:30,1034.300048828125,1059.0,1026.5999755859375,1044.449951171875,3367252,0.0,0.0
2024-04-29 00:00:00+05:30,1052.0,1068.0,1037.6500244140625,1045.25,3571796,0.0,0.0
2024-04-30 00:00:00+05:30,1050.5,1057.699951171875,1034.199951171875,1038.75,1889199,0.0,0.0
2024-05-02 00:00:00+05:30,1038.75,1076.449951171875,1036.800048828125,1056.300048828125,3702221,0.0,0.0
2024-05-03 00:00:00+05:30,1061.199951171875,1075.5999755859375,1041.0,1052.449951171875,2504576,0.0,0.0
2024-05-06 00:00:00+05:30,1055.0,1057.199951171875,1007.1500244140625,1022.2000122070312,3652645,0.0,0.0
2024-05-07 00:00:00+05:30,1025.0,1029.0999755859375,987.25,993.5,2314924,0.0,0.0
2024-05-08 00:00:00+05:30,989.0,1016.0,989.0,1007.4500122070312,1871931,0.0,0.0
2024-05-09 00:00:00+05:30,1009.0,1013.4500122070312,982.7000122070312,986.0999755859375,1962409,0.0,0.0
2024-05-10 00:00:00+05:30,988.3499755859375,1003.9500122070312,983.0,995.5499877929688,1307761,0.0,0.0
2024-05-13 00:00:00+05:30,999.7000122070312,999.7000122070312,973.5,990.1500244140625,1422203,0.0,0.0
2024-05-14 00:00:00+05:30,994.25,1032.550048828125,993.6500244140625,1026.6500244140625,2536531,0.0,0.0
2024-05-15 00:00:00+05:30,1027.050048828125,1039.9000244140625,1020.25,1028.6500244140625,1328038,0.0,0.0
2024-05-16 00:00:00+05:30,1031.0,1044.699951171875,1029.0999755859375,1040.5,1662931,0.0,0.0
2024-05-17 00:00:00+05:30,1041.0999755859375,1100.0,1039.1500244140625,1093.699951171875,6852207,0.0,0.0
2024-05-21 00:00:00+05:30,1109.0,1122.300048828125,1087.550048828125,1115.550048828125,4808902,0.0,0.0
2024-05-22 00:00:00+05:30,1121.0999755859375,1136.9000244140625,1106.050048828125,1126.0,3646850,0.0,0.0
2024-05-23 00:00:00+05:30,1129.0,1138.9000244140625,1116.5999755859375,1122.0999755859375,2440066,0.0,0.0
2024-05-24 00:00:00+05:30,1124.0,1124.0,1107.0,1109.050048828125,2116118,0.0,0.0
2024-05-27 00:00:00+05:30,1116.0999755859375,1119.75,1095.050048828125,1101.25,2681079,0.0,0.0
2024-05-28 00:00:00+05:30,1105.0,1107.5999755859375,1077.75,1083.0999755859375,2907482,0.0,0.0
2024-05-29 00:00:00+05:30,1046.0999755859375,1061.300048828125,1027.1500244140625,1042.9000244140625,7214522,0.0,0.0
2024-05-30 00:00:00+05:30,1042.9000244140625,1053.8499755859375,1020.5,1025.3499755859375,2329426,0.0,0.0
2024-05-31 00:00:00+05:30,1035.4000244140625,1037.75,998.0,1020.3499755859375,4783658,0.0,0.0
2024-06-03 00:00:00+05:30,1084.949951171875,1084.949951171875,1038.199951171875,1054.25,3598463,0.0,0.0
2024-06-04 00:00:00+05:30,1056.0,1056.0,845.2999877929688,912.0499877929688,11464052,0.0,0.0
2024-06-05 00:00:00+05:30,945.0,945.0,858.0,918.9000244140625,8798437,0.0,0.0
2024-06-06 00:00:00+05:30,942.9000244140625,984.8499755859375,925.7000122070312,973.2999877929688,5451521,0.0,0.0
2024-06-07 00:00:00+05:30,978.0,982.5999755859375,965.0,977.75,2476737,0.0,0.0
2024-06-10 00:00:00+05:30,990.0,990.8499755859375,972.5999755859375,977.9000244140625,2242074,0.0,0.0
2024-06-11 00:00:00+05:30,985.0999755859375,1036.0,982.5999755859375,1020.0499877929688,8695834,0.0,0.0
2024-06-12 00:00:00+05:30,1027.0,1034.0,1015.0999755859375,1026.949951171875,4385975,0.0,0.0
2024-06-13 00:00:00+05:30,1037.0,1037.0,1013.5,1017.5499877929688,1996303,0.0,0.0
2024-06-14 00:00:00+05:30,1024.0,1027.699951171875,1014.6500244140625,1018.2000122070312,1511522,0.0,0.0
2024-06-18 00:00:00+05:30,1019.0,1038.6500244140625,1018.7000122070312,1032.4000244140625,2486989,0.0,0.0
2024-06-19 00:00:00+05:30,1035.8499755859375,1037.0,1002.9000244140625,1014.6500244140625,2550530,0.0,0.0
2024-06-20 00:00:00+05:30,1017.3499755859375,1027.0,1007.2000122070312,1015.5999755859375,1694557,0.0,0.0
2024-06-21 00:00:00+05:30,1018.7999877929688,1046.0,1008.2000122070312,1012.2999877929688,5664314,0.0,0.0
2024-06-24 00:00:00+05:30,1020.0,1037.949951171875,1007.5999755859375,1010.25,4131226,0.0,0.0
2024-06-25 00:00:00+05:30,1014.0,1018.7999877929688,987.0999755859375,995.0999755859375,3163136,0.0,0.0
2024-06-26 00:00:00+05:30,1000.0,1002.75,988.0,990.4500122070312,3137677,0.0,0.0
2024-06-27 00:00:00+05:30,991.0,1002.3499755859375,983.3499755859375,991.25,2402997,0.0,0.0
2024-06-28 00:00:00+05:30,995.7000122070312,1007.5,988.0,989.25,3777772,0.0,0.0
2024-07-01 00:00:00+05:30,990.0,999.25,989.0499877929688,992.8499755859375,1815971,0.0,0.0
2024-07-02 00:00:00+05:30,995.2000122070312,1014.5,991.0499877929688,1006.5999755859375,3155918,0.0,0.0
2024-07-03 00:00:00+05:30,1007.4000244140625,1010.0,1001.0999755859375,1004.25,1904860,0.0,0.0
2024-07-04 00:00:00+05:30,1009.7999877929688,1016.9000244140625,1002.5999755859375,1006.0499877929688,1498265,0.0,0.0
2024-07-05 00:00:00+05:30,1005.0,1034.449951171875,1003.0499877929688,1026.199951171875,4670941,0.0,0.0
2024-07-08 00:00:00+05:30,1030.0,1051.75,1027.800048828125,1045.5999755859375,6083179,0.0,0.0
2024-07-09 00:00:00+05:30,1052.8499755859375,1055.0,1023.2000122070312,1027.9000244140625,2638133,0.0,0.0
2024-07-10 00:00:00+05:30,1032.449951171875,1037.300048828125,993.75,1021.8499755859375,2295822,0.0,0.0
2024-07-11 00:00:00+05:30,1030.25,1041.800048828125,1026.949951171875,1029.4000244140625,2328069,0.0,0.0
2024-07-12 00:00:00+05:30,1031.0,1059.449951171875,1022.25,1043.050048828125,4997763,0.0,0.0
2024-07-15 00:00:00+05:30,1046.8499755859375,1047.4000244140625,1035.050048828125,1037.9000244140625,3052646,0.0,0.0
2024-07-16 00:00:00+05:30,1042.0,1044.949951171875,1024.5,1029.0,1242326,0.0,0.0
2024-07-18 00:00:00+05:30,1027.8499755859375,1028.75,1004.0999755859375,1010.25,1850857,0.0,0.0
2024-07-19 00:00:00+05:30,1012.6500244140625,1014.9500122070312,985.0,989.0999755859375,3195475,0.0,0.0
2024-07-22 00:00:00+05:30,990.0,1011.9500122070312,971.0,1006.25,2819852,0.0,0.0
2024-07-23 00:00:00+05:30,1015.7000122070312,1015.7000122070312,940.0499877929688,972.9000244140625,5290749,0.0,0.0
2024-07-24 00:00:00+05:30,974.7000122070312,988.25,968.6500244140625,974.2000122070312,2446557,0.0,0.0
2024-07-25 00:00:00+05:30,970.9500122070312,972.5999755859375,954.0,969.1500244140625,1573736,0.0,0.0
2024-07-26 00:00:00+05:30,976.0,991.3499755859375,972.9000244140625,984.1500244140625,1990326,0.0,0.0
2024-07-29 00:00:00+05:30,990.0,1000.7999877929688,985.2999877929688,991.4500122070312,1761942,0.0,0.0
2024-07-30 00:00:00+05:30,994.5,998.0,988.4500122070312,989.5999755859375,979935,0.0,0.0
2024-07-31 00:00:00+05:30,990.0,994.4000244140625,985.5,987.6500244140625,994897,0.0,0.0
2024-08-01 00:00:00+05:30,989.9000244140625,995.0,976.0,980.5,998861,0.0,0.0
2024-08-02 00:00:00+05:30,972.75,976.5,963.6500244140625,966.4000244140625,1102487,0.0,0.0
2024-08-05 00:00:00+05:30,945.0,954.0,921.1500244140625,925.5,2629317,0.0,0.0
2024-08-06 00:00:00+05:30,925.5,946.75,915.9000244140625,919.1500244140625,1708694,0.0,0.0
